cam_x,cam_y,cam_z,cam_x_vel,cam_y_vel,cam_z_vel,pitch_cmd,roll_cmd,pitch_desired,roll_desired,pitch_actual,roll_actual,auto_thrust,autonomy_paused
0.00067,-0.00095,0.29172,0.00099,-0.00141,0.43192,-0.01459,0.01026,0.00729,0.00513,7.94282,-0.83019,0.00000,0
0.00067,-0.00095,0.29172,0.00000,0.00000,0.00000,-0.01459,0.01026,0.00729,0.00513,7.83473,-0.82191,0.00000,0
0.00067,-0.00095,0.29172,0.00000,0.00000,0.00000,-0.01459,0.01026,0.00729,0.00513,7.80400,-0.83952,0.00000,0
0.00114,-0.00150,0.46413,0.02011,-0.02318,0.50000,-0.16977,0.14648,0.08488,0.07324,7.67048,-0.86658,0.00000,0
0.00114,-0.00150,0.46413,0.00000,0.00000,0.00000,-0.16977,0.14648,0.08488,0.07324,7.58659,-0.82010,0.00000,0
0.00114,-0.00150,0.46413,0.00000,0.00000,0.00000,-0.16977,0.14648,0.08488,0.07324,7.52126,-0.79588,0.00000,0
0.00114,-0.00150,0.46413,0.00000,0.00000,0.00000,-0.16977,0.14648,0.08488,0.07324,7.50414,-0.77089,0.00000,0
0.00114,-0.00150,0.46413,0.00000,0.00000,0.00000,-0.16977,0.14648,0.08488,0.07324,7.37662,-0.82254,0.00000,0
0.00143,-0.00183,0.56757,0.00748,-0.00862,0.50000,-0.06948,0.05949,0.03474,0.02974,7.27545,-0.79052,0.00000,0
0.00143,-0.00183,0.56757,0.00000,0.00000,0.00000,-0.06948,0.05949,0.03474,0.02974,7.10964,-0.78867,0.00000,0
0.00143,-0.00183,0.56757,0.00000,0.00000,0.00000,-0.06948,0.05949,0.03474,0.02974,7.05650,-0.81150,0.00000,0
0.00143,-0.00183,0.56757,0.00000,0.00000,0.00000,-0.06948,0.05949,0.03474,0.02974,6.95808,-0.76312,0.00000,0
0.00159,-0.00194,0.63007,0.00539,-0.00395,0.50000,-0.03738,0.04572,0.01869,0.02286,6.94366,-0.74370,0.00000,0
0.00159,-0.00194,0.63007,0.00000,0.00000,0.00000,-0.03738,0.04572,0.01869,0.02286,6.91076,-0.72465,0.00000,0
0.00159,-0.00194,0.63007,0.00000,0.00000,0.00000,-0.03738,0.04572,0.01869,0.02286,6.84527,-0.68968,0.00000,0
0.00159,-0.00194,0.63007,0.00000,0.00000,0.00000,-0.03738,0.04572,0.01869,0.02286,6.80883,-0.67164,0.00000,0
0.00159,-0.00194,0.63007,0.00000,0.00000,0.00000,-0.03738,0.04572,0.01869,0.02286,6.78961,-0.66139,0.00000,0
0.00159,-0.00194,0.63007,0.00000,0.00000,0.00000,-0.03738,0.04572,0.01869,0.02286,6.73752,-0.69140,0.00000,0
0.00177,-0.00212,0.66976,0.00408,-0.00384,0.50000,-0.03746,0.03743,0.01873,0.01871,6.64871,-0.62720,0.00000,0
0.00177,-0.00212,0.66976,0.00000,0.00000,0.00000,-0.03746,0.03743,0.01873,0.01871,6.64340,-0.60494,0.00000,0
0.00180,-0.00212,0.69138,0.00163,-0.00020,0.50000,-0.01198,0.02037,0.00599,0.01019,6.52648,-0.63471,0.00000,0
0.00180,-0.00212,0.69138,0.00000,0.00000,0.00000,-0.01198,0.02037,0.00599,0.01019,6.37548,-0.60923,0.00000,0
0.00180,-0.00212,0.69138,0.00000,0.00000,0.00000,-0.01198,0.02037,0.00599,0.01019,6.26683,-0.54088,0.00000,0
0.00180,-0.00212,0.69138,0.00000,0.00000,0.00000,-0.01198,0.02037,0.00599,0.01019,6.14612,-0.49051,0.00000,0
0.00180,-0.00212,0.69138,0.00000,0.00000,0.00000,-0.01198,0.02037,0.00599,0.01019,6.06410,-0.37422,0.00000,0
0.00180,-0.00212,0.69138,0.00000,0.00000,0.00000,-0.01198,0.02037,0.00599,0.01019,6.01124,-0.36902,0.00000,0
0.00180,-0.00212,0.69138,0.00000,0.00000,0.00000,-0.01198,0.02037,0.00599,0.01019,6.01499,-0.48454,0.00000,0
0.00175,-0.00222,0.70655,-0.00098,-0.00193,0.28819,-0.02461,0.00186,0.01231,0.00093,5.91928,-0.54929,0.00000,0
0.00175,-0.00222,0.70655,0.00000,0.00000,0.00000,-0.02461,0.00186,0.01231,0.00093,5.84544,-0.55078,0.00000,0
0.00175,-0.00222,0.70655,0.00000,0.00000,0.00000,-0.02461,0.00186,0.01231,0.00093,5.71336,-0.42061,0.00000,0
0.00175,-0.00222,0.70655,0.00000,0.00000,0.00000,-0.02461,0.00186,0.01231,0.00093,5.66913,-0.43269,0.00000,0
0.00178,-0.00218,0.71345,0.00119,0.00129,0.23002,-0.00186,0.01723,0.00093,0.00862,5.62302,-0.47342,0.00000,0
0.00178,-0.00218,0.71345,0.00000,0.00000,0.00000,-0.00186,0.01723,0.00093,0.00862,5.49406,-0.48504,0.00000,0
0.00180,-0.00216,0.71759,0.00141,0.00154,0.27342,-0.00003,0.01891,0.00002,0.00946,5.53606,-0.48957,0.00000,0
0.00180,-0.00216,0.71759,0.00000,0.00000,0.00000,-0.00003,0.01891,0.00002,0.00946,5.48333,-0.55371,0.00000,0
0.00180,-0.00216,0.71759,0.00000,0.00000,0.00000,-0.00003,0.01891,0.00002,0.00946,5.45277,-0.49666,0.00000,0
0.00180,-0.00216,0.71759,0.00000,0.00000,0.00000,-0.00003,0.01891,0.00002,0.00946,5.33849,-0.48665,0.00000,0
0.00180,-0.00216,0.71759,0.00000,0.00000,0.00000,-0.00003,0.01891,0.00002,0.00946,5.27731,-0.53027,0.00000,0
0.00180,-0.00216,0.71759,0.00000,0.00000,0.00000,-0.00003,0.01891,0.00002,0.00946,5.25769,-0.38597,0.00000,0
0.00152,-0.00229,0.72011,-0.00616,-0.00287,0.05526,-0.03154,-0.03547,0.01577,-0.01773,5.25672,-0.44434,0.00000,0
0.00152,-0.00229,0.72011,0.00000,0.00000,0.00000,-0.03154,-0.03547,0.01577,-0.01773,5.24000,-0.34575,0.00000,0
0.00152,-0.00229,0.72011,0.00000,0.00000,0.00000,-0.03154,-0.03547,0.01577,-0.01773,5.18476,-0.39657,0.00000,0
0.00152,-0.00229,0.72011,0.00000,0.00000,0.00000,-0.03154,-0.03547,0.01577,-0.01773,5.10544,-0.27693,0.00000,0
0.00152,-0.00229,0.72011,0.00000,0.00000,0.00000,-0.03154,-0.03547,0.01577,-0.01773,5.07648,-0.28255,0.00000,0
0.00115,-0.00222,0.71938,-0.01131,0.00197,-0.02213,0.00268,-0.07338,-0.00134,-0.03669,5.01753,-0.27156,0.00000,0
0.00115,-0.00222,0.71938,0.00000,0.00000,0.00000,0.00268,-0.07338,-0.00134,-0.03669,4.97590,-0.21639,0.00000,0
0.00115,-0.00222,0.71938,0.00000,0.00000,0.00000,0.00268,-0.07338,-0.00134,-0.03669,4.99401,-0.24596,0.00000,0
0.00115,-0.00222,0.71938,0.00000,0.00000,0.00000,0.00268,-0.07338,-0.00134,-0.03669,4.92458,-0.26874,0.00000,0
0.00093,-0.00219,0.71894,-0.00770,0.00134,-0.01508,-0.00152,-0.04929,0.00076,-0.02465,4.93308,-0.21436,0.00000,0
0.00093,-0.00219,0.71894,0.00000,0.00000,0.00000,-0.00152,-0.04929,0.00076,-0.02465,4.90076,-0.19435,0.00000,0
0.00093,-0.00219,0.71894,0.00000,0.00000,0.00000,-0.00152,-0.04929,0.00076,-0.02465,4.87567,-0.17234,0.00000,0
0.00028,-0.00231,0.72082,-0.02958,-0.00543,0.08571,-0.04954,-0.20566,0.02477,-0.10283,4.85332,-0.33540,0.00000,0
0.00028,-0.00231,0.72082,0.00000,0.00000,0.00000,-0.04954,-0.20566,0.02477,-0.10283,4.84271,-0.31795,0.00000,0
0.00028,-0.00231,0.72082,0.00000,0.00000,0.00000,-0.04954,-0.20566,0.02477,-0.10283,4.78990,-0.33529,0.00000,0
0.00028,-0.00231,0.72082,0.00000,0.00000,0.00000,-0.04954,-0.20566,0.02477,-0.10283,4.75060,-0.39435,0.00000,0
0.00028,-0.00231,0.72082,0.00000,0.00000,0.00000,-0.04954,-0.20566,0.02477,-0.10283,4.71952,-0.34566,0.00000,0
-0.00032,-0.00222,0.71975,-0.01652,0.00240,-0.02960,0.00572,-0.11722,-0.00286,-0.05861,4.68354,-0.21720,0.00000,0
-0.00032,-0.00222,0.71975,0.00000,0.00000,0.00000,0.00572,-0.11722,-0.00286,-0.05861,4.63425,-0.24623,0.00000,0
-0.00032,-0.00222,0.71975,0.00000,0.00000,0.00000,0.00572,-0.11722,-0.00286,-0.05861,4.55547,-0.23267,0.00000,0
-0.00032,-0.00222,0.71975,0.00000,0.00000,0.00000,0.00572,-0.11722,-0.00286,-0.05861,4.50836,-0.18520,0.00000,0
-0.00032,-0.00222,0.71975,0.00000,0.00000,0.00000,0.00572,-0.11722,-0.00286,-0.05861,4.42865,-0.22240,0.00000,0
-0.00032,-0.00222,0.71975,0.00000,0.00000,0.00000,0.00572,-0.11722,-0.00286,-0.05861,4.34814,-0.22166,0.00000,0
-0.00082,-0.00236,0.72255,-0.01141,-0.00315,0.06396,-0.03385,-0.08395,0.01693,-0.04197,4.29072,-0.13989,0.00000,0
-0.00082,-0.00236,0.72255,0.00000,0.00000,0.00000,-0.03385,-0.08395,0.01693,-0.04197,4.28065,-0.11684,0.00000,0
-0.00082,-0.00236,0.72255,0.00000,0.00000,0.00000,-0.03385,-0.08395,0.01693,-0.04197,4.29257,-0.09783,0.00000,0
